Polymer,T (MPa^0.5),dD (MPa^0.5),dP (MPa^0.5),dH (MPa^0.5),R0 (MPa^0.5)
PBTTT (C14),19.05,18.6,3.2,2.6,3.5
F4TCNQ,19.54,16.5,9.5,4.4,9.0
