Solvent,T (MPa^0.5),dD (MPa^0.5),dP (MPa^0.5),dH (MPa^0.5),Vm (cm3/mol)
Anisole,19.59,17.80,4.40,6.90,108.70
o-Xylene,18.40,18.00,2.60,2.80,120.60
THF,19.46,16.80,5.70,8.00,81.70
DMSO,26.68,18.40,16.40,10.20,71.30
Acetone,19.94,15.50,10.40,7.00,74.00
ACN,24.40,15.30,18.00,6.10,52.90
nBA,17.41,15.80,3.70,6.30,91.51
Cyrene,23.69,18.90,12.40,7.10,102.70
NMP,22.96,18.00,12.30,7.20,96.40
